,TL,TM,TR,ML,MM,MR,BL,BM,BR,OUTCOME,TL_BR
0,x,x,x,x,o,o,x,o,o,positive,xo
1,x,x,x,x,o,o,o,x,o,positive,xo
2,x,x,x,x,o,o,o,o,x,positive,xx
3,x,x,x,x,o,o,o,b,b,positive,xb
4,x,x,x,x,o,o,b,o,b,positive,xb
5,x,x,x,x,o,o,b,b,o,positive,xo
6,x,x,x,x,o,b,o,o,b,positive,xb
7,x,x,x,x,o,b,o,b,o,positive,xo
8,x,x,x,x,o,b,b,o,o,positive,xo
9,x,x,x,x,b,o,o,o,b,positive,xb
10,x,x,x,x,b,o,o,b,o,positive,xo
11,x,x,x,x,b,o,b,o,o,positive,xo
12,x,x,x,o,x,o,x,o,o,positive,xo
13,x,x,x,o,x,o,o,x,o,positive,xo
14,x,x,x,o,x,o,o,o,x,positive,xx
15,x,x,x,o,x,o,o,b,b,positive,xb
16,x,x,x,o,x,o,b,o,b,positive,xb
17,x,x,x,o,x,o,b,b,o,positive,xo
18,x,x,x,o,x,b,o,o,b,positive,xb
19,x,x,x,o,x,b,o,b,o,positive,xo
20,x,x,x,o,x,b,b,o,o,positive,xo
21,x,x,x,o,o,x,x,o,o,positive,xo
22,x,x,x,o,o,x,o,x,o,positive,xo
23,x,x,x,o,o,x,o,o,x,positive,xx
24,x,x,x,o,o,x,o,b,b,positive,xb
25,x,x,x,o,o,x,b,o,b,positive,xb
26,x,x,x,o,o,x,b,b,o,positive,xo
27,x,x,x,o,o,b,x,o,b,positive,xb
28,x,x,x,o,o,b,x,b,o,positive,xo
29,x,x,x,o,o,b,o,x,b,positive,xb
30,x,x,x,o,o,b,o,b,x,positive,xx
31,x,x,x,o,o,b,b,x,o,positive,xo
32,x,x,x,o,o,b,b,o,x,positive,xx
33,x,x,x,o,o,b,b,b,b,positive,xb
34,x,x,x,o,b,x,o,o,b,positive,xb
35,x,x,x,o,b,x,o,b,o,positive,xo
36,x,x,x,o,b,x,b,o,o,positive,xo
37,x,x,x,o,b,o,x,o,b,positive,xb
38,x,x,x,o,b,o,x,b,o,positive,xo
39,x,x,x,o,b,o,o,x,b,positive,xb
40,x,x,x,o,b,o,o,b,x,positive,xx
41,x,x,x,o,b,o,b,x,o,positive,xo
42,x,x,x,o,b,o,b,o,x,positive,xx
43,x,x,x,o,b,o,b,b,b,positive,xb
44,x,x,x,o,b,b,x,o,o,positive,xo
45,x,x,x,o,b,b,o,x,o,positive,xo
46,x,x,x,o,b,b,o,o,x,positive,xx
47,x,x,x,o,b,b,o,b,b,positive,xb
48,x,x,x,o,b,b,b,o,b,positive,xb
49,x,x,x,o,b,b,b,b,o,positive,xo
50,x,x,x,b,x,o,o,o,b,positive,xb
51,x,x,x,b,x,o,o,b,o,positive,xo
52,x,x,x,b,x,o,b,o,o,positive,xo
53,x,x,x,b,o,x,o,o,b,positive,xb
54,x,x,x,b,o,x,o,b,o,positive,xo
55,x,x,x,b,o,x,b,o,o,positive,xo
56,x,x,x,b,o,o,x,o,b,positive,xb
57,x,x,x,b,o,o,x,b,o,positive,xo
58,x,x,x,b,o,o,o,x,b,positive,xb
59,x,x,x,b,o,o,o,b,x,positive,xx
60,x,x,x,b,o,o,b,x,o,positive,xo
61,x,x,x,b,o,o,b,o,x,positive,xx
62,x,x,x,b,o,o,b,b,b,positive,xb
63,x,x,x,b,o,b,x,o,o,positive,xo
64,x,x,x,b,o,b,o,x,o,positive,xo
65,x,x,x,b,o,b,o,o,x,positive,xx
66,x,x,x,b,o,b,o,b,b,positive,xb
67,x,x,x,b,o,b,b,o,b,positive,xb
68,x,x,x,b,o,b,b,b,o,positive,xo
69,x,x,x,b,b,o,x,o,o,positive,xo
70,x,x,x,b,b,o,o,x,o,positive,xo
71,x,x,x,b,b,o,o,o,x,positive,xx
72,x,x,x,b,b,o,o,b,b,positive,xb
73,x,x,x,b,b,o,b,o,b,positive,xb
74,x,x,x,b,b,o,b,b,o,positive,xo
75,x,x,x,b,b,b,o,o,b,positive,xb
76,x,x,x,b,b,b,o,b,o,positive,xo
77,x,x,x,b,b,b,b,o,o,positive,xo
78,x,x,o,x,x,o,o,o,x,positive,xx
79,x,x,o,x,o,x,x,o,o,positive,xo
80,x,x,o,x,o,o,x,o,x,positive,xx
81,x,x,o,x,o,o,x,b,b,positive,xb
82,x,x,o,x,o,b,x,o,b,positive,xb
83,x,x,o,x,o,b,x,b,o,positive,xo
84,x,x,o,x,b,o,x,o,b,positive,xb
85,x,x,o,x,b,b,x,o,o,positive,xo
86,x,x,o,o,x,x,o,x,o,positive,xo
87,x,x,o,o,x,x,o,o,x,positive,xx
88,x,x,o,o,x,o,x,o,x,positive,xx
89,x,x,o,o,x,o,o,x,x,positive,xx
90,x,x,o,o,x,o,b,x,b,positive,xb
91,x,x,o,o,x,o,b,b,x,positive,xx
92,x,x,o,o,x,b,o,x,b,positive,xb
93,x,x,o,o,x,b,o,b,x,positive,xx
94,x,x,o,o,x,b,b,x,o,positive,xo
95,x,x,o,o,x,b,b,o,x,positive,xx
96,x,x,o,b,x,o,o,x,b,positive,xb
97,x,x,o,b,x,o,o,b,x,positive,xx
98,x,x,o,b,x,o,b,o,x,positive,xx
99,x,x,o,b,x,b,o,x,o,positive,xo
100,x,x,o,b,x,b,o,o,x,positive,xx
101,x,x,b,x,o,o,x,o,b,positive,xb
102,x,x,b,x,o,o,x,b,o,positive,xo
103,x,x,b,x,o,b,x,o,o,positive,xo
104,x,x,b,x,b,o,x,o,o,positive,xo
105,x,x,b,o,x,o,o,x,b,positive,xb
106,x,x,b,o,x,o,o,b,x,positive,xx
107,x,x,b,o,x,o,b,x,o,positive,xo
108,x,x,b,o,x,o,b,o,x,positive,xx
109,x,x,b,o,x,b,o,x,o,positive,xo
110,x,x,b,o,x,b,o,o,x,positive,xx
111,x,x,b,b,x,o,o,x,o,positive,xo
112,x,x,b,b,x,o,o,o,x,positive,xx
113,x,o,x,x,x,o,x,o,o,positive,xo
114,x,o,x,x,x,o,o,o,x,positive,xx
